[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007466 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.395542 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009195 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143508 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007409 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.189136 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008104 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.549497 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008314 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.143426 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007751 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.207036 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007907 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.341799 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009558 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.142143 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007323 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.200506 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007917 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.475142 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008813 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.209434 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007866 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.201984 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007752 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.279477 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008457 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.154106 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007489 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.211654 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.009219 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.744756 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.010938 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.146325 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.008264 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.198289 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.008435 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.996278 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009976 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.140101 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007779 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.199962 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007490 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.822623 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.009188 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.153332 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007579 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.222158 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007721 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.436459 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008282 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.141209 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.007556 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.202536 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.007885 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 9.444802 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.008435 seconds
