[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006467 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006326 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005544 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.297770 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005814 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.697398 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.009723 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006469 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006047 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.355862 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005985 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.719648 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006213 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006520 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005475 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.336025 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005769 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.734496 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006106 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006271 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005442 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.370515 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005901 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.907828 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005970 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006350 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005583 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.412618 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006446 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.852190 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006197 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006561 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005271 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.398108 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006768 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.918030 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006273 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006499 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005712 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.346920 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005840 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.806367 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006093 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006389 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005551 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.316004 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006318 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.782776 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005910 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006320 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005793 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.348944 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006418 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.748616 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006034 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006021 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005600 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.314852 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006003 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.797864 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006726 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006433 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005652 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.357987 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006691 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.792994 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005993 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006558 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005457 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.311692 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006149 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.937670 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.007014 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006507 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006316 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.481152 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006675 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.722891 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006366 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006426 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005693 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.312299 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006102 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.818924 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006005 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006328 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005586 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.311425 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005976 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.862889 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006153 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006370 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.006186 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.330077 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006030 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.714581 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005986 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006215 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005604 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.341891 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006156 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.751600 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005950 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006513 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005539 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.302803 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006463 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.739772 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006309 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006133 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005516 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.505455 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015107 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.921254 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006122 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006459 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005709 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.352349 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006107 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.763045 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006244 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.009656 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.009127 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 3.110584 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.010293 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 6.677048 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010716 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006279 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005538 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.353209 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005939 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.825665 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005864 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006466 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005587 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.380166 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.009737 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.876631 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006276 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006621 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005719 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.318893 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006306 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.799758 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.010502 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006423 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005631 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.449003 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006117 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.701511 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005987 seconds
