[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.797150 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002304 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.003681 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002342 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.279931 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002469 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.771314 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002419 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002791 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002110 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.261938 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002597 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.778163 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002446 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002634 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002186 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.271037 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002251 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.774131 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002376 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002585 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002159 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.256126 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002365 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.763561 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002417 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002678 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002272 seconds
