[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013310 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011137 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.652708 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.015296 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 25.608635 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014125 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013801 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011870 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.473551 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013806 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.242271 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013520 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012388 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011138 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.464845 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013197 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.387850 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013955 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.014203 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011771 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.503254 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.015086 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.345032 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.014662 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013458 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011455 seconds
