[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006597 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.595146 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006761 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006802 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005598 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.357916 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006483 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.467221 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.005993 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006528 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005636 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.358586 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006575 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.480546 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006720 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007789 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005782 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.363047 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006359 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.457985 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006572 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006349 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005581 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.411080 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006784 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.552375 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006442 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.010864 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006008 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.336301 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006128 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.551313 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006604 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006442 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005463 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.360637 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007334 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.297933 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006301 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006147 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005523 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.427230 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007766 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.459174 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007037 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007176 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005971 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.366848 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007240 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.540756 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.008134 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006668 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005952 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.344136 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006661 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.639901 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007447 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006613 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005612 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.374295 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006902 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.380516 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007294 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007391 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005746 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.372271 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006063 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.769639 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007139 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006649 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005721 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.360758 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007202 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.416625 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006733 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007070 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005643 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.383647 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007324 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.465072 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006626 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006486 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005632 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.389645 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006466 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.348424 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.008097 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.009386 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.006430 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.366379 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006206 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.414900 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007085 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.007460 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005597 seconds
