[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014820 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014129 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012879 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.396327 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015117 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.208233 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015042 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014296 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012345 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.363703 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015015 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.449223 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014775 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014398 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012488 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.342291 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014390 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.591654 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017666 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015531 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012325 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.524657 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014852 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.751282 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017237 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014693 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012712 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.645963 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014552 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 32.946461 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013807 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014657 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012478 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.807840 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017874 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.357994 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015472 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014636 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012342 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.802538 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017556 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.145859 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014521 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014563 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012513 seconds
