[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015094 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.936785 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017670 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.185368 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018016 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.623029 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015662 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.934785 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015841 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 40.964962 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018950 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.619855 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.016036 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.957457 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015971 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.811798 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.021539 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.613678 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.017447 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.939840 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017088 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.647526 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.020488 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.606686 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015739 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 1.028152 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017641 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.597851 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.021295 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.590941 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015820 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.925558 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017547 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 40.981125 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017916 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.602082 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015759 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.925382 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016573 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.243988 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018116 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.625561 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015322 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.975139 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017734 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.182102 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016621 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.763356 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.023903 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.956619 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016903 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.305603 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018796 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.602802 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015692 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.956129 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016727 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.316364 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017930 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.602215 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015363 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.926180 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016287 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.900417 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017201 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.593410 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015752 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.934337 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016576 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.413998 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018947 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.595881 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015681 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.943852 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016275 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.659233 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.027141 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.592013 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015758 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.970863 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017168 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.028061 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018735 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.589674 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.016108 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.986731 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.019392 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.199062 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.019820 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.602203 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015686 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.936252 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015996 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.603474 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.021731 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.599808 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015832 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.932724 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015915 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.054649 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017841 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.592962 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015152 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.932778 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017642 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.723583 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.028635 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.629301 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.016311 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.992691 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016689 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.754086 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018270 seconds
