[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.723114 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016565 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.302979 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017532 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014962 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013885 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.306368 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016351 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.718639 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.025924 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014963 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013510 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.438050 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016425 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.335922 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015492 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015352 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013825 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.409663 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014939 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.965889 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015275 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015365 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014115 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.502817 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015008 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.851711 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016257 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015903 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013055 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.472063 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016188 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.586090 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016828 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014927 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013648 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.566617 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015693 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.100380 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017774 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.017630 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.015341 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.397189 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015558 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.984970 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016227 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015248 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013780 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.807341 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014271 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.889790 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015743 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014785 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013313 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 18.035766 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017591 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.036736 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015859 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.019308 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013299 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.943313 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.020054 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.830864 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.021199 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014948 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014743 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 18.035911 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.018010 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.800953 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016381 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.016002 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014317 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.668338 seconds
